title_web,job_type,salary,location,summary,company,date,Country,title,website
Medical Assistant and Office Manager,Healthcare Administration,$13 - $18 an hour,"Gastonia, NC 28054","Proven work experience as a medical office manager.Order medical and office supplies.As a medical office manager, you should demonstrate excellent…",Carolina Digestive Diseases Center,5/31/21,United States,Medical office manager,Indeed
Office manager / medical assistant for a no fault pain manag...,Healthcare Administration,Up to $28 an hour,"Bayside, NY 11361",Looking for a certified medical assistant for a fast paced pain management practice.PM&R/ rehab / PAIN/ ORTHO BACKGROUND PREFERRED.,Nonsurgical orthopedics,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,$16 - $18 an hour,"Jamaica, NY 11435",Order medical and office supplies.Our practice is looking for a bilingual (English and Spanish speaking) experienced medical office manager to run our medical…,Briarwood Medical Practice P.C.,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,From $19 an hour,"Grand Rapids, MI 49534",Proven work experience as a medical office manager.Order and maintain medical and office supplies and generate inventory records.,Standale Family Physicians,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,None,"Forney, TX","The office manager is responsible for overseeing all things related to office administration, staff leadership, and customer service.",Tots N Teens Pediatrics,5/31/21,United States,Medical office manager,Indeed
Front Office Manager/Medical Receptionist,Healthcare Administration,None,"Brooklyn, NY",Medical weight loss clinic looking for an experienced medical office administrative assistant / front desk.ONLY THOSE LOOKING FOR LONG TERM NEED APPLY.,WeightLossNYC,5/31/21,United States,Medical office manager,Indeed
Medical Assistant/Office Manager,Healthcare Administration,None,"Loves Park, IL 61111","Maintain office supplies and equipment.Answer phones, various office duties.Must have experience as a Medical Assistant and office work.","East Bank Center, LLC",5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Assistant,Healthcare Administration,$12 - $17 an hour,"Canton, MI 48187",Working knowledge of medical terminology.Support clinical staff and maintain office environment.Greet and escort patients to appropriate area in office.,eCare health Clinic,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Assistant,Healthcare Administration,$18 - $24 an hour,"Poway, CA 92064","Medical office experience: 2 years (Preferred).Duties involve answering and managing phone calls, data entry, document scanning and electronic routing,…","Vrijesh S. Tantuwaya, M. D., Inc.",5/31/21,United States,Medical office manager,Indeed
Medical Front Office Manager,Healthcare Administration,$15 - $17 an hour,"West Jordan, UT 84084",General office cleaning/mild maintenance.Ensure accuracy on electronic medical record notes entered by Therapists.Enroll new Client's into services.,"Clinical Consultants, LLC",5/31/21,United States,Medical office manager,Indeed
Medical Assistant and Office Manager,Healthcare Administration,$13 - $18 an hour,"Gastonia, NC 28054","Proven work experience as a medical office manager.Order medical and office supplies.As a medical office manager, you should demonstrate excellent…",Carolina Digestive Diseases Center,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,From $19 an hour,"Grand Rapids, MI 49534",Proven work experience as a medical office manager.Order and maintain medical and office supplies and generate inventory records.,Standale Family Physicians,5/31/21,United States,Medical office manager,Indeed
Front Office Manager / Medical Assistant / Unit Secretary,Healthcare Administration,None,"Cherry Hill, NJ 08034",Entry level - great opportunity to gain experience in the medical field.Checking patient lists for accuracy and handling any subsequent issue.,Affinity Healthcare Group,5/31/21,United States,Medical office manager,Indeed
Registered Medical Assistant/Office Assistant/Office Manager,Healthcare Administration,None,"Philadelphia, PA (Old City area)","The right candidate will be trained to become familiar with the office routine.We also perform fetal monitoring, blood tests, and routine patient care ( BP and…",Philadelphia Pregnancy Center,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager/Medical Assistant,Healthcare Administration,$15 an hour,"Chicago, IL",Knowledge of medical office management systems and procedures.Proven working experience as a medical assistant or medical secretary.,ADVANCED CANCER CLINIC LTD,5/31/21,United States,Medical office manager,Indeed
Medical Records Clerk and helper for Office Manager (1 posit...,Healthcare Administration,None,"Knoxville, TN","This office has paper files and a distinct filing method which is very straight forward, but requires accuracy and organization.",Broadway Neck and Spine,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,None,"Mesquite, TX 75150","The office manager is responsible for overseeing all things related to office administration, staff leadership, and customer service.",Tots N Teens Pediatrics,5/31/21,United States,Medical office manager,Indeed
Office manager / medical assistant for a no fault pain manag...,Healthcare Administration,Up to $28 an hour,"Bayside, NY 11361",Looking for a certified medical assistant for a fast paced pain management practice.PM&R/ rehab / PAIN/ ORTHO BACKGROUND PREFERRED.,Nonsurgical orthopedics,5/31/21,United States,Medical office manager,Indeed
"""KID-FRIENDLY"" MEDICAL OFFICE MANAGER WANTED",Healthcare Administration,$15 - $20 an hour,"Los Angeles, CA","Proven work experience as a medical office manager.Order medical and office supplies as needed.As a medical office manager, you should demonstrate excellent…",Children's Eye Center of El Paso,5/31/21,United States,Medical office manager,Indeed
Medical Office Manager,Healthcare Administration,$16 - $18 an hour,"Jamaica, NY 11435",Order medical and office supplies.Our practice is looking for a bilingual (English and Spanish speaking) experienced medical office manager to run our medical…,Briarwood Medical Practice P.C.,5/31/21,United States,Medical office manager,Indeed
Front Office Manager/Medical Receptionist,Healthcare Administration,None,"Brooklyn, NY",Medical weight loss clinic looking for an experienced medical office administrative assistant / front desk.ONLY THOSE LOOKING FOR LONG TERM NEED APPLY.,WeightLossNYC,5/31/21,United States,Medical office manager,Indeed
6934-013 Admitting Clerk -Urgent Care Walton - FT,Healthcare Administration,None,"Las Cruces, NM","The Registrar acts as a liaison between the hospital, patient’s and/or patient’s family, insurance companies and physician’s offices.",Mountainview Physician Services,5/31/21,United States,Admitting clerk,Indeed
Admitting-Registration Clerk,Healthcare Administration,None,"Price, UT 84501","The Admitting Patient Registration Rep. responds to all CODES in accordance with the Business Office Safety Plan to ensure the safety of all staff, patients and…",Castleview Hospital,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"Covina, CA 91724",The admitting clerk is responsible for registering patients to the hospital.One year experience in Healthcare admitting and insurance verification functions…,Aurora Charter Oak Behavioral Health Care,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"Charleston, WV",Prepare and disburse admitting forms and related materials.Interview patients to secure and verify all pertinent admitting data.,CAMC Health System,5/31/21,United States,Admitting clerk,Indeed
Receptionist/Admitting Clerk - Imaging Office,Healthcare Administration,None,"Oklahoma City, OK",Reception work or admitting patients in a healthcare facility.Our staff is committed to creating an environment in which patients not only receive the best…,USPI,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk Full Time Emergency Department Rotating Shif...,Healthcare Administration,None,"Biloxi, MS","Registers patients and processes related paperwork.Duties include interviewing patients, preparing standard registration forms, and performing other admission…",Merit Health Biloxi,5/31/21,United States,Admitting clerk,Indeed
Receptionist/Admitting Clerk,Healthcare Administration,None,"Durham, NC",NC Specialty Hospital is currently seeking a full time Receptionist/ Admitting Associate for weekday shifts and occasional weekends.,"North Carolina Specialty Hospital, LLC",5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk ER Registration Full-Time 3p-11p,Healthcare Administration,None,"Newport, TN","Registers patients and processes related paperwork.Duties include interviewing patients, preparing standard registration forms, and performing other admission…",Newport Medical Center,5/31/21,United States,Admitting clerk,Indeed
Front Desk Receptionist / Admitting Clerk,Healthcare Administration,$10 - $16 an hour,"Ada, OK 74820","Overall Responsibility: Interface with patients and families, physicians and staff, and visitors to the facility.Prepare charts for admission of patients.",APEX Surgery Center,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk --Registration-CAMCTVH --Teays Valley Hospit...,Healthcare Administration,None,"Hurricane, WV",Prepare and disburse admitting forms and related materials.Interview patients to secure and verify all pertinent admitting data.,CAMC Health System,5/31/21,United States,Admitting clerk,Indeed
Full Time Admitting Clerk/Receptionist/Front Desk Clerk,Healthcare Administration,None,"Oklahoma City, OK 73129 (I-240 Corridor area)","Admitting/registration: 1 year (Preferred).The admitting clerk answers the phone, assists patients with admissions, visitors with information, schedules…",Surgical Hospital of Oklahoma,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"Paris, TN 38242","Registration Clerk receives patients, obtaining all demographic information needed to complete the Registration/Admission process.",Henry County Medical Center,5/31/21,United States,Admitting clerk,Indeed
ER Admitting Clerk / Registration - PRN,Healthcare Administration,None,"Punta Gorda, FL","Bayfront Health Punta Gorda features all-private patient rooms in the acute care setting, and offers an accredited primary stroke center, the Joint Commission…",Bayfront Health Punta Gorda,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"South Miami, FL 33143",Verification and completion of transfers.Collection of patient responsibility and/or hospital fees.,Larkin Community Hospital,5/31/21,United States,Admitting clerk,Indeed
ER Admitting Clerk - Hospital Admissions,Healthcare Administration,$13.07 - $15.71 an hour,"Alamosa, CO 81101","Greet patients/visitors in a courteous, welcoming manner.Ensure patient understands and signs all required forms as it pertains to the patient’s registration…",SAN LUIS VALLEY HEALTH,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk ER Registration Full-Time 3p-11p,Healthcare Administration,None,"Newport, TN","Registers patients and processes related paperwork.Duties include interviewing patients, preparing standard registration forms, and performing other admission…",Newport Medical Center,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,$12 - $15 an hour,"Houston, TX 77026 (Northside-Northline area)","High School diploma or equivalent.1-3 years of office experience, health care setting preferred.Previous customer service experience preferred.",United Memorial Medical Center,5/31/21,United States,Admitting clerk,Indeed
ER Admitting Clerk / Registration - PRN,Healthcare Administration,None,"Punta Gorda, FL","Bayfront Health Punta Gorda features all-private patient rooms in the acute care setting, and offers an accredited primary stroke center, the Joint Commission…",Bayfront Health Punta Gorda,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"Paris, TN 38242","Registration Clerk receives patients, obtaining all demographic information needed to complete the Registration/Admission process.",Henry County Medical Center,5/31/21,United States,Admitting clerk,Indeed
Receptionist/Admitting Clerk,Healthcare Administration,None,"Durham, NC",NC Specialty Hospital is currently seeking a full time Receptionist/ Admitting Associate for weekday shifts and occasional weekends.,"North Carolina Specialty Hospital, LLC",5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk FT Days with some Saturdays.,Healthcare Administration,None,"Knoxville, TN","Registers patients and processes related paperwork.Duties include interviewing patients, preparing standard registration forms, and performing other admission…",North Metro Knoxville Medical,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"Covina, CA 91724",The admitting clerk is responsible for registering patients to the hospital.One year experience in Healthcare admitting and insurance verification functions…,Aurora Charter Oak Behavioral Health Care,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk- Full Time ED Evenings and weekends.,Healthcare Administration,None,"Knoxville, TN","Registers patients and processes related paperwork.Duties include interviewing patients, preparing standard registration forms, and performing other admission…",North Metro Knoxville Medical,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"Vivian, LA 71082","Primary responsibility is the processing of the Emergency Room records.Ensures accuracy, integrity, and security of all databases.",North Caddo Medical Center,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"South Miami, FL 33143",Verification and completion of transfers.Collection of patient responsibility and/or hospital fees.,Larkin Community Hospital,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"South Miami, FL 33143",Verification and completion of transfers.Collection of patient responsibility and/or hospital fees.,Larkin Community Hospital,5/31/21,United States,Admitting clerk,Indeed
Patient Access Admitting Clerk,Healthcare Administration,None,"Richland Center, WI 53581","The Receptionist is responsible for the clerical applications of the patient admitting process, operating the facilities switchboard, and other reception type…",The Richland Hospital,5/31/21,United States,Admitting clerk,Indeed
Patient Registration/ED Admitting Clerk PRN,Healthcare Administration,None,"Laredo, TX","One year acute Emergency Department experience as an admitting clerk (registration) performing scheduling, registration, insurance verification and or billing.",Laredo Medical Center,5/31/21,United States,Admitting clerk,Indeed
"Temporary, FT Admitting Clerk",Healthcare Administration,None,"Elko, NV 89801",This position will register patients in the Emergency Department and front admitting areas.The admissions clerk is also responsible for processing workers…,Northeastern Nevada Regional Hospital,5/31/21,United States,Admitting clerk,Indeed
Full Time Admitting Clerk/Receptionist/Front Desk Clerk,Healthcare Administration,None,"Oklahoma City, OK 73129 (I-240 Corridor area)","Admitting/registration: 1 year (Preferred).The admitting clerk answers the phone, assists patients with admissions, visitors with information, schedules…",Surgical Hospital of Oklahoma,5/31/21,United States,Admitting clerk,Indeed
ER Admitting Clerk - Hospital Admissions,Healthcare Administration,$13.07 - $15.71 an hour,"Alamosa, CO 81101","Greet patients/visitors in a courteous, welcoming manner.Ensure patient understands and signs all required forms as it pertains to the patient’s registration…",SAN LUIS VALLEY HEALTH,5/31/21,United States,Admitting clerk,Indeed
Admitting Reg Clerk,Healthcare Administration,None,"Odessa, TX 79761","Knowledge of but not limited to admitting/registration process, receivables management, credit and collection laws, billing forms, medical billing regulations,…",Medical Center Hospital,5/31/21,United States,Admitting clerk,Indeed
Front Desk Receptionist / Admitting Clerk,Healthcare Administration,$10 - $16 an hour,"Ada, OK 74820","Overall Responsibility: Interface with patients and families, physicians and staff, and visitors to the facility.Prepare charts for admission of patients.",APEX Surgery Center,5/31/21,United States,Admitting clerk,Indeed
Admitting Counselor/Reg Clerk (.9 La Crosse),Healthcare Administration,None,"La Crosse, WI","The Admission Counselor is responsible for providing customer service to both internal and external customers regarding demographic information, insurance…",Gundersen - La Crosse Main Campus,5/31/21,United States,Admitting clerk,Indeed
Admitting Hospital Clerk - NIGHT SHIFT,Healthcare Administration,None,"Denison, IA 51442","Responsible for Business Office duties including Admissions, Dismissals, Switchboard, registration follow-up and Specialty Clinic preparations.",Crawford County Memorial Hospital,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk - Days Tues - Fri and every other weekend,Healthcare Administration,None,"Taunton, MA 02780",Accurately identifies patient and correctly selects patient’s MRN if applicable with no known errors.Accurately requests and inputs all required patient…,Morton Hospital,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk --Registration --Memorial Hospital,Healthcare Administration,None,"Charleston, WV",Prepare and disburse admitting forms and related materials.Interview patients to secure and verify all pertinent admitting data.,CAMC Health System,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk --Registration --Women & Children's Hospital,Healthcare Administration,None,"Charleston, WV",Prepare and disburse admitting forms and related materials.Interview patients to secure and verify all pertinent admitting data.,CAMC Health System,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk - FT Days,Healthcare Administration,None,"Minden, LA 71055","MMC offers competitive salaries and complete benefit packages.Minimum Education & Experience Excellent Customer Service Skills, Typing, ten key and computer…",Minden Medical Center,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk Representative - Receptionist,Healthcare Administration,None,"Derby, KS 67037",The clerk also serves as a patient resource in matters concerning financial/payment arrangements and will discuss financial matters for up-front collections or…,Rock Regional Hospital,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk,Healthcare Administration,None,"South Miami, FL 33143",Verification and completion of transfers.Collection of patient responsibility and/or hospital fees.,Larkin Community Hospital,5/31/21,United States,Admitting clerk,Indeed
Patient Access Admitting Clerk,Healthcare Administration,None,"Richland Center, WI 53581","The Receptionist is responsible for the clerical applications of the patient admitting process, operating the facilities switchboard, and other reception type…",The Richland Hospital,5/31/21,United States,Admitting clerk,Indeed
Patient Registration/ED Admitting Clerk PRN,Healthcare Administration,None,"Laredo, TX","One year acute Emergency Department experience as an admitting clerk (registration) performing scheduling, registration, insurance verification and or billing.",Laredo Medical Center,5/31/21,United States,Admitting clerk,Indeed
"Temporary, FT Admitting Clerk",Healthcare Administration,None,"Elko, NV 89801",This position will register patients in the Emergency Department and front admitting areas.The admissions clerk is also responsible for processing workers…,Northeastern Nevada Regional Hospital,5/31/21,United States,Admitting clerk,Indeed
Full Time Admitting Clerk/Receptionist/Front Desk Clerk,Healthcare Administration,None,"Oklahoma City, OK 73129 (I-240 Corridor area)","Admitting/registration: 1 year (Preferred).The admitting clerk answers the phone, assists patients with admissions, visitors with information, schedules…",Surgical Hospital of Oklahoma,5/31/21,United States,Admitting clerk,Indeed
ER Admitting Clerk - Hospital Admissions,Healthcare Administration,$13.07 - $15.71 an hour,"Alamosa, CO 81101","Greet patients/visitors in a courteous, welcoming manner.Ensure patient understands and signs all required forms as it pertains to the patient’s registration…",SAN LUIS VALLEY HEALTH,5/31/21,United States,Admitting clerk,Indeed
Admitting Reg Clerk,Healthcare Administration,None,"Odessa, TX 79761","Knowledge of but not limited to admitting/registration process, receivables management, credit and collection laws, billing forms, medical billing regulations,…",Medical Center Hospital,5/31/21,United States,Admitting clerk,Indeed
Front Desk Receptionist / Admitting Clerk,Healthcare Administration,$10 - $16 an hour,"Ada, OK 74820","Overall Responsibility: Interface with patients and families, physicians and staff, and visitors to the facility.Prepare charts for admission of patients.",APEX Surgery Center,5/31/21,United States,Admitting clerk,Indeed
Admitting Counselor/Reg Clerk (.9 La Crosse),Healthcare Administration,None,"La Crosse, WI","The Admission Counselor is responsible for providing customer service to both internal and external customers regarding demographic information, insurance…",Gundersen - La Crosse Main Campus,5/31/21,United States,Admitting clerk,Indeed
Admitting Hospital Clerk - NIGHT SHIFT,Healthcare Administration,None,"Denison, IA 51442","Responsible for Business Office duties including Admissions, Dismissals, Switchboard, registration follow-up and Specialty Clinic preparations.",Crawford County Memorial Hospital,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk - Days Tues - Fri and every other weekend,Healthcare Administration,None,"Taunton, MA 02780",Accurately identifies patient and correctly selects patient’s MRN if applicable with no known errors.Accurately requests and inputs all required patient…,Morton Hospital,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk --Registration --Memorial Hospital,Healthcare Administration,None,"Charleston, WV",Prepare and disburse admitting forms and related materials.Interview patients to secure and verify all pertinent admitting data.,CAMC Health System,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk --Registration --Women & Children's Hospital,Healthcare Administration,None,"Charleston, WV",Prepare and disburse admitting forms and related materials.Interview patients to secure and verify all pertinent admitting data.,CAMC Health System,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk - FT Days,Healthcare Administration,None,"Minden, LA 71055","MMC offers competitive salaries and complete benefit packages.Minimum Education & Experience Excellent Customer Service Skills, Typing, ten key and computer…",Minden Medical Center,5/31/21,United States,Admitting clerk,Indeed
Admitting Clerk Representative - Receptionist,Healthcare Administration,None,"Derby, KS 67037",The clerk also serves as a patient resource in matters concerning financial/payment arrangements and will discuss financial matters for up-front collections or…,Rock Regional Hospital,5/31/21,United States,Admitting clerk,Indeed
Healthcare Business Office Manager,Healthcare Administration,None,"Helena, MT 59601 (West area)",Healthcare office management: 1 year (Preferred).HR and office management skills.High School Diploma and relevant recent experience in Business or Accounting…,Rocky Mountain Care Center,5/31/21,United States,Healthcare business office manager,Indeed
Business Office Manager (BOM) - Healthcare,Healthcare Administration,None,"Maumelle, AR 72113","Business office manager with previous experience in a hospital, skilled nursing care facility, is required.*.The Business office manager must have knowledge of…",The Lakes at Maumelle Health & Rehabilitation,5/31/21,United States,Healthcare business office manager,Indeed
Healthcare Business Office Manager,Healthcare Administration,None,"Helena, MT 59601 (West area)",Healthcare office management: 1 year (Preferred).HR and office management skills.High School Diploma and relevant recent experience in Business or Accounting…,Rocky Mountain Care Center,5/31/21,United States,Healthcare business office manager,Indeed
Business Office Manager (BOM) - Healthcare,Healthcare Administration,None,"Maumelle, AR 72113","Business office manager with previous experience in a hospital, skilled nursing care facility, is required.*.The Business office manager must have knowledge of…",The Lakes at Maumelle Health & Rehabilitation,5/31/21,United States,Healthcare business office manager,Indeed
Healthcare Business Office Manager,Healthcare Administration,None,"Helena, MT 59601 (West area)",Healthcare office management: 1 year (Preferred).HR and office management skills.High School Diploma and relevant recent experience in Business or Accounting…,Rocky Mountain Care Center,5/31/21,United States,Healthcare business office manager,Indeed
Business Office Manager (BOM) - Healthcare,Healthcare Administration,None,"Maumelle, AR 72113","Business office manager with previous experience in a hospital, skilled nursing care facility, is required.*.The Business office manager must have knowledge of…",The Lakes at Maumelle Health & Rehabilitation,5/31/21,United States,Healthcare business office manager,Indeed
"RESEARCH DATA ANALYST III,MED School of Medicine, Neurology",Healthcare Administration,None,"Boston, MA 02215 (Kenmore area)",The Department of Neurology has been investing in increasing its basic research footprint while maintaining its high clinical productivity.,Boston University,5/31/21,United States,Med,Indeed
Med Tech/CNA,Healthcare Administration,$13 - $16 an hour,"Green Cove Springs, FL 32043",MedTec-CNAs / MedTec-Caregivers are needed for afternoon and night shifts:,"DIAMOND ALF, LLC",5/31/21,United States,Med,Indeed
Med-Surg/ Telemetry RN - COVID CRISIS RATE!!!,Healthcare Administration,$80 an hour,"Reno, NV","Staffing matrix is between 1:4-6 patients.Patient population is a combination of tele and medical status patients, all tele patients are monitored remotely by…",Nationwide Therapy Group,5/31/21,United States,Med,Indeed
Med Techs,Healthcare Administration,None,"Coeur d'Alene, ID 83815",Med Techs support senior residents to ensure they can complete the activities of daily living and that they are administered medications as ordered by the…,Rsl Renaissance Llc,5/31/21,United States,Med,Indeed
CNA - Med Surg,Healthcare Administration,$18.26 an hour ++,"Lakewood, CO 80228",Centura Health values its incredible CNAs and want to ensure they practice at top of their license to better optimize their skills and experience.,Centura Health,5/31/21,United States,Med,Indeed
Certified Med Tech for Seniors,Healthcare Administration,Up to $15 an hour ++,"Coeur d'Alene, ID 83814",Accurately follows all right of medication assistance while performing assistance with medications to maintain a minimal error rate.Up to $15/hour.,Orchard Ridge Senior Living,5/31/21,United States,Med,Indeed
RN New Grad Med/Surg,Healthcare Administration,None,"Lander, WY 82520","Provides direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization, physician treatment plans and…",SageWest Health Care,5/31/21,United States,Med,Indeed
Caregiver/Med Tech,Healthcare Administration,$9 - $10 an hour,"Idaho Falls, ID 83402","We are hiring for 7-3pm on weekends 3-11pm , and Grave yard 11pm-7am during week.Cooking for the residents and serving meals.Able to pass background check.",Broadway Fields Assisted Living,5/31/21,United States,Med,Indeed
"RESEARCH TECHNICIAN,MED School of Medicine, Biochemistry",Healthcare Administration,None,"Boston, MA 02215 (Kenmore area)","This job is an ideal opportunity for a recent graduate seeking a period of research experience prior the next step in their career path, as well as for an…",Boston University,5/31/21,United States,Med,Indeed
